site	layer	kind	component	alive_start	alive_answer-ce	max_ci_answer-ce	alive_integers	max_ci_integers	alive_last-pos-ceiling	max_ci_last-pos-ceiling	effect_run	effect_run_add	effect_run_sub	impairs_frac_run	impairs_frac_run_add	impairs_frac_run_sub	active_frac_run	ablated_dscore_run	ablated_dacc_run	swept_dkl_run	swept_dinteger_kl_run	swept_danswer_ce_run	swept_daccuracy_run	effect_answer-ce	effect_answer-ce_add	effect_answer-ce_sub	impairs_frac_answer-ce	impairs_frac_answer-ce_add	impairs_frac_answer-ce_sub	active_frac_answer-ce	ablated_dscore_answer-ce	ablated_dacc_answer-ce	swept_dkl_answer-ce	swept_dinteger_kl_answer-ce	swept_danswer_ce_answer-ce	swept_daccuracy_answer-ce	effect_integers	effect_integers_add	effect_integers_sub	impairs_frac_integers	impairs_frac_integers_add	impairs_frac_integers_sub	active_frac_integers	ablated_dscore_integers	ablated_dacc_integers	swept_dkl_integers	swept_dinteger_kl_integers	swept_danswer_ce_integers	swept_daccuracy_integers
layers.0.mlp.down_proj	0	mlp.down_proj	0	1	1	1	1	1	1	1	0.000245287	0.000782882	-0.000292308	0.7461	0.9918	0.5004	1			2.69786e-05	3.53903e-06	-0.000458002	0.00390625	-3.16677e-05	1.81385e-05	-8.14739e-05				1			0.00455332	0.00376201	0.000379443	-0.00390625	0.000175643	0.000727794	-0.000376508	0.7369	0.9779	0.4959	1			5.48363e-05	-5.42328e-05	0.000941753	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	1	1	1	1	1	1	1	1	0.00012902	0.000284046	-2.60071e-05	0.7514	0.9933	0.5095	1			-4.41372e-05	-8.36924e-05	-0.000460386	0	-9.74741e-06	4.43067e-06	-2.39255e-05				1			-0.00052166	-0.000214577	0.000940382	-0.00390625	0.000103723	0.000263228	-5.57824e-05	0.7454	0.9852	0.5057	1			-1.90288e-05	-6.69584e-05	0.00090313	-0.0117188
layers.0.mlp.down_proj	0	mlp.down_proj	2	1	1	1	1	1	1	1	2.91721e-05	0.000106483	-4.81386e-05	0.7401	0.9922	0.4881	1			4.17531e-05	4.13507e-05	-3.50475e-05	0	-1.48633e-05	-8.3723e-07	-2.88893e-05				1			0.00069952	0.00125647	0.000685394	0.00390625	2.08137e-05	0.000105329	-6.37014e-05	0.7371	0.9921	0.4822	1			0.000152573	0.00010217	0.00105619	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	3	1	1	1	1	1	1	1	0.00510356	0.00492511	0.005282	0.6518	0.7795	0.5241	1			-0.000374421	-0.000813607	-0.00362873	0.00390625	0.000904666	0.000689103	0.00112023				1			0.0324402	0.0264738	0.00019592	-0.0078125	0.00494324	0.00456168	0.00532481	0.659	0.7563	0.5616	1			-0.000376105	-0.000915602	-0.00113821	0
layers.0.mlp.down_proj	0	mlp.down_proj	4	1	1	1	1	1	1	1	0.00626866	0.00795062	0.00458671	0.7083	0.906	0.5105	1			-0.000238091	-0.00100243	-0.0118666	0.00585938	-0.00130865	0.000642919	-0.00326021				1			0.0443101	0.0353591	0.00176269	0	0.0054867	0.00719578	0.00377762	0.6943	0.8746	0.5139	1			0.000133559	-0.000773363	-0.0074935	0
layers.0.mlp.down_proj	0	mlp.down_proj	5	1	1	1	1	1	1	1	-0.00160155	0.00105808	-0.00426117	0.4493	0.6045	0.2941	0.9654			1.49012e-06	-7.83205e-05	0.0021286	0	-0.00062601	0.000197101	-0.00144912				0.9617			-0.000782013	-0.0016067	0.0012759	0.00390625	-0.00119535	0.00115885	-0.00354956	0.4631	0.6178	0.3084	0.9631			3.12924e-06	-2.82973e-05	0.00298643	-0.0117188
layers.0.mlp.down_proj	0	mlp.down_proj	6	1	1	1	1	1	1	1	-0.00368932	-0.00604229	-0.00133635	0.3373	0.2308	0.4439	0.743			0.00133649	0.00206174	0.00946808	0	-0.000808275	-0.00146066	-0.000155888				0.7215			-0.0373464	-0.0308642	0.00137132	0	-0.00323089	-0.00546046	-0.00100132	0.3465	0.2511	0.4419	0.7429			0.0011663	0.00161917	0.00522757	0
layers.0.mlp.down_proj	0	mlp.down_proj	9	1	1	1	1	1	1	1	0.00235919	0.00177856	0.00293981	0.622	0.7026	0.5413	1			-0.0002371	-0.00050975	-0.00223827	0.00195312	0.000408746	0.00030888	0.000508611				1			0.0184097	0.0149181	0.000102878	0	0.00223434	0.0016448	0.00282389	0.6368	0.6896	0.5839	1			-0.00024537	-0.000635795	-0.000632763	-0.00390625
layers.0.mlp.down_proj	0	mlp.down_proj	10	1	1	1	1	1	1	1	0.00134401	0	0.00268803	0.3605	0	0.721	0.5			-0.000168107	-0.000330687	-0.00335622	0	0.000206157	0	0.000412315				0.5			0.00667763	0.00530267	-0.000236809	0.00390625	0.00123189	0	0.00246378	0.3724	0	0.7448	0.5			-0.000114471	-0.000324845	2.86102e-05	-0.0078125
layers.0.mlp.down_proj	0	mlp.down_proj	11	1	1	1	1	1	1	1	-0.000303114	-0.000606227	0	0.1257	0.2513	0	0.5			-2.58163e-06	9.38401e-06	0.00101519	0	8.9306e-05	0.000178612	0				0.5			0.00745392	0.00637746	-2.08616e-06	0	-0.00031701	-0.00063402	0	0.1257	0.2514	0	0.5			6.48797e-05	0.000100084	0.00101709	0
