site	layer	kind	component	max_ci_alive_in	kl_full	kl_integer	integer_share_of_kl	top_token	p_before	p_after	top_tokens
group: ALL		group	476		0.002072	0.001738	0.839	'?\n'	0.07516	0.0744	'?\n' 0.0752->0.0744; ' ' 0.0415->0.0417; '____' 0.00488->0.00478; '?' 0.00996->0.0101; '?\n' 0.00811->0.00803
group: CONTROL (alive in both)		group	476		2.539	2.414	0.951	'?\n'	0.07516	0.01449	'?\n' 0.0752->0.0145; ' ' 0.0415->0.00692; '?' 0.00996->0.0168; ' -' 0.006->0.0013; '??' 0.0111->0.00646
group: layers 0-7		group	44		0.001273	0.001084	0.852	' '	0.04154	0.04192	' ' 0.0415->0.0419; '??' 0.0111->0.0112; '?' 0.00996->0.01; '?\n' 0.00811->0.00816; '????' 0.00654->0.00659
group: layers 8-15		group	41		0.000733	0.000649	0.885	'?\n'	0.07516	0.07538	'?\n' 0.0752->0.0754; ' ' 0.0415->0.0413; '____' 0.00488->0.00478; '?' 0.00996->0.00987; '?\n' 0.00811->0.00806
group: layers 16-23		group	61		0.0005579	0.0004761	0.853	' '	0.04154	0.04133	' ' 0.0415->0.0413; '?\n' 0.0752->0.0752; '??' 0.0111->0.0112; '???' 0.00613->0.00616; ' -' 0.006->0.00597
group: layers 24-31		group	330		0.0005275	0.0003621	0.687	'?\n'	0.07516	0.07401	'?\n' 0.0752->0.074; ' ' 0.0415->0.0419; '?\n' 0.00811->0.008; '??' 0.0111->0.011; ' -' 0.006->0.00608
layers.0.mlp.down_proj	0	mlp.down_proj	524	1	0.0006224	0.0005089	0.818	'?\n'	0.07516	0.07508	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '____' 0.00488->0.00487; '?' 0.00996->0.00995; '??' 0.0111->0.0112
layers.1.mlp.gate_proj	1	mlp.gate_proj	28	0.3711	0.0005682	0.0004628	0.815	'?\n'	0.07516	0.07505	'?\n' 0.0752->0.0751; '____' 0.00488->0.00487; '?' 0.00996->0.00995; '??' 0.0111->0.0111; ' ' 0.0415->0.0415
layers.1.self_attn.o_proj	1	self_attn.o_proj	91	0.4023	0.0005724	0.000463	0.809	'?\n'	0.07516	0.075	'?\n' 0.0752->0.075; ' -' 0.006->0.00597; '?' 0.00996->0.00994; ' ' 0.0415->0.0415; '____' 0.00488->0.00487
layers.1.self_attn.o_proj	1	self_attn.o_proj	135	0.2012	0.0005613	0.0004555	0.812	' '	0.04154	0.04149	' ' 0.0415->0.0415; '?\n' 0.0752->0.0752; '____' 0.00488->0.00486; '??' 0.0111->0.0112; ' -' 0.006->0.00598
layers.1.self_attn.o_proj	1	self_attn.o_proj	371	0.0293	0.0005722	0.0004657	0.814	'?'	0.009965	0.00994	'?' 0.00996->0.00994; '?\n' 0.0752->0.0751; ' -' 0.006->0.00598; '____' 0.00488->0.00487; ' ' 0.0415->0.0415
layers.1.self_attn.o_proj	1	self_attn.o_proj	378	0.06836	0.0005697	0.0004647	0.816	'?\n'	0.07516	0.07524	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '____' 0.00488->0.00486; ' -' 0.006->0.00601; '????' 0.00654->0.00654
layers.1.self_attn.v_proj	1	self_attn.v_proj	213	1	0.0006636	0.0005357	0.807	'?\n'	0.07516	0.07507	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '____' 0.00488->0.00486; '?' 0.00996->0.00994; '??' 0.0111->0.0111
layers.10.mlp.down_proj	10	mlp.down_proj	30	0.3477	0.000393	0.0003206	0.816	'?\n'	0.07516	0.07508	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; ' (' 0.00526->0.00525; '????' 0.00654->0.00652; '?' 0.00996->0.00996
layers.10.mlp.down_proj	10	mlp.down_proj	182	1	0.0003898	0.0003116	0.8	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; '?\n' 0.00811->0.00811
layers.10.mlp.down_proj	10	mlp.down_proj	260	0.2012	0.0003791	0.0003044	0.803	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00996; '?\n' 0.00811->0.00812; '??' 0.0111->0.0111
layers.10.mlp.down_proj	10	mlp.down_proj	459	1	0.0003813	0.0003086	0.809	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; '???' 0.00613->0.00613; '?\n' 0.00811->0.00812
layers.10.mlp.down_proj	10	mlp.down_proj	1010	0.01367	0.0003781	0.0003021	0.799	' -'	0.005999	0.005979	' -' 0.006->0.00598; '?\n' 0.0752->0.0752; '____' 0.00488->0.00487; '?' 0.00996->0.00996; '????' 0.00654->0.00654
layers.10.mlp.up_proj	10	mlp.up_proj	626	0.07422	0.0003868	0.0003132	0.81	'?\n'	0.07516	0.07512	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '??' 0.0111->0.0112; ' -' 0.006->0.00599; '???' 0.00613->0.00613
layers.11.mlp.down_proj	11	mlp.down_proj	23	0.02734	0.0003697	0.0003012	0.815	'?'	0.009965	0.009952	'?' 0.00996->0.00995; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; ' -' 0.006->0.00599; '???' 0.00613->0.00613
layers.11.mlp.down_proj	11	mlp.down_proj	569	0.02344	0.0003674	0.0002965	0.807	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' -' 0.006->0.00599; '?' 0.00996->0.00998; '??' 0.0111->0.0112; '____' 0.00488->0.00488
layers.11.mlp.down_proj	11	mlp.down_proj	618	0.8203	0.0003726	0.0003032	0.814	'?\n'	0.07516	0.07524	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '??' 0.0111->0.0112; '?\n' 0.00811->0.00812; '?' 0.00996->0.00996
layers.11.mlp.down_proj	11	mlp.down_proj	752	0.02734	0.0003722	0.0002996	0.805	'?\n'	0.07516	0.07523	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; ' -' 0.006->0.00598; '____' 0.00488->0.00487; ' (' 0.00526->0.00526
layers.11.mlp.gate_proj	11	mlp.gate_proj	227	0.168	0.0003744	0.0003055	0.816	' '	0.04154	0.04156	' ' 0.0415->0.0416; '???' 0.00613->0.00614; '?\n' 0.0752->0.0752; '??' 0.0111->0.0112; '____' 0.00488->0.00488
layers.11.mlp.gate_proj	11	mlp.gate_proj	473	0.4141	0.0003713	0.0003053	0.822	' '	0.04154	0.04148	' ' 0.0415->0.0415; '?' 0.00996->0.00995; '____' 0.00488->0.00487; '?\n' 0.00811->0.00812; '?\n' 0.0752->0.0752
layers.11.mlp.up_proj	11	mlp.up_proj	335	0.04883	0.0003687	0.0003	0.814	'?\n'	0.07516	0.07504	'?\n' 0.0752->0.075; '____' 0.00488->0.00487; '??' 0.0111->0.0112; ' -' 0.006->0.00599; '???' 0.00613->0.00613
layers.11.mlp.up_proj	11	mlp.up_proj	639	0.1543	0.0003771	0.0003059	0.811	' '	0.04154	0.04156	' ' 0.0415->0.0416; '????' 0.00654->0.00654; '?' 0.00996->0.00996; '??' 0.0111->0.0111; '???' 0.00613->0.00613
layers.11.self_attn.o_proj	11	self_attn.o_proj	428	0.04492	0.0006065	0.0005442	0.897	' '	0.04154	0.04145	' ' 0.0415->0.0414; '____' 0.00488->0.0048; '?\n' 0.0752->0.0752; '?' 0.00996->0.0099; '?\n' 0.00811->0.00805
layers.12.mlp.down_proj	12	mlp.down_proj	382	0.05078	0.0003662	0.0002953	0.806	' '	0.04154	0.04158	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '____' 0.00488->0.00487; '?' 0.00996->0.00995; '??' 0.0111->0.0111
layers.12.mlp.gate_proj	12	mlp.gate_proj	176	0.1641	0.0003598	0.0002874	0.799	'?\n'	0.07516	0.07514	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; ' ' 0.0415->0.0415; ' -' 0.006->0.00599; '??' 0.0111->0.0112
layers.12.mlp.gate_proj	12	mlp.gate_proj	234	1	0.0003551	0.0002862	0.806	'?\n'	0.07516	0.07507	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '??' 0.0111->0.0111; ' (' 0.00526->0.00527; '????' 0.00654->0.00654
layers.13.mlp.down_proj	13	mlp.down_proj	211	0.07617	0.0003365	0.0002721	0.809	'?\n'	0.07516	0.07527	'?\n' 0.0752->0.0753; '?' 0.00996->0.00995; '????' 0.00654->0.00654; '?\n' 0.00811->0.00812; '??' 0.0111->0.0111
layers.13.mlp.down_proj	13	mlp.down_proj	226	0.416	0.0003453	0.000277	0.802	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; '???' 0.00613->0.00614; '????' 0.00654->0.00654
layers.13.mlp.down_proj	13	mlp.down_proj	353	1	0.0003421	0.000275	0.804	'?\n'	0.07516	0.07513	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; ' -' 0.006->0.00599; '??' 0.0111->0.0111
layers.13.mlp.down_proj	13	mlp.down_proj	553	0.0293	0.0003452	0.000281	0.814	'?\n'	0.07516	0.07522	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0416; '??' 0.0111->0.0111; '?\n' 0.00811->0.00812; '____' 0.00488->0.00488
layers.13.mlp.gate_proj	13	mlp.gate_proj	571	0.3984	0.0003464	0.0002781	0.803	' '	0.04154	0.04156	' ' 0.0415->0.0416; '?\n' 0.0752->0.0751; '??' 0.0111->0.0111; ' -' 0.006->0.00601; '?\n' 0.00811->0.00812
layers.13.mlp.gate_proj	13	mlp.gate_proj	761	0.1445	0.000343	0.0002758	0.804	' '	0.04154	0.04151	' ' 0.0415->0.0415; '?\n' 0.00811->0.0081; '?\n' 0.0752->0.0752; '???' 0.00613->0.00614; '????' 0.00654->0.00654
layers.13.mlp.up_proj	13	mlp.up_proj	142	0.04102	0.0003394	0.0002714	0.8	'____'	0.004883	0.004873	'____' 0.00488->0.00487; '???' 0.00613->0.00614; '?' 0.00996->0.00996; ' -' 0.006->0.00601; '?\n' 0.0752->0.0752
layers.13.mlp.up_proj	13	mlp.up_proj	367	0.03125	0.0003419	0.0002751	0.805	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0751; '____' 0.00488->0.00487; '?' 0.00996->0.00996; '?\n' 0.00811->0.00812; ' (' 0.00526->0.00527
layers.13.mlp.up_proj	13	mlp.up_proj	571	0.0293	0.0003443	0.0002757	0.801	'?\n'	0.07516	0.07511	'?\n' 0.0752->0.0751; ' ' 0.0415->0.0416; '????' 0.00654->0.00654; '?\n' 0.00811->0.0081; ' (' 0.00526->0.00526
layers.13.mlp.up_proj	13	mlp.up_proj	775	0.01172	0.0003417	0.0002721	0.796	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; '____' 0.00488->0.00487; '????' 0.00654->0.00654; '???' 0.00613->0.00613; ' (' 0.00526->0.00526
layers.13.mlp.up_proj	13	mlp.up_proj	825	0.02539	0.0003403	0.0002749	0.808	'?\n'	0.07516	0.07519	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; ' -' 0.006->0.00598; '?\n' 0.00811->0.00812; '?' 0.00996->0.00995
layers.14.mlp.down_proj	14	mlp.down_proj	233	0.07422	0.0003273	0.0002633	0.804	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0751; '?' 0.00996->0.00995; '???' 0.00613->0.00613; ' -' 0.006->0.00599; ' ' 0.0415->0.0415
layers.14.mlp.down_proj	14	mlp.down_proj	465	0.08594	0.0003329	0.0002732	0.821	'?\n'	0.07516	0.07515	'?\n' 0.0752->0.0752; '____' 0.00488->0.00487; '?' 0.00996->0.00996; ' (' 0.00526->0.00526; '??' 0.0111->0.0111
layers.14.mlp.up_proj	14	mlp.up_proj	547	0.1875	0.0003333	0.0002681	0.804	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '?' 0.00996->0.00995; '?\n' 0.00811->0.0081; ' (' 0.00526->0.00526
layers.15.mlp.gate_proj	15	mlp.gate_proj	149	0.2734	0.0003205	0.0002569	0.802	'?\n'	0.07516	0.07521	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; '?' 0.00996->0.00996; ' -' 0.006->0.006
layers.15.mlp.gate_proj	15	mlp.gate_proj	367	1	0.0003191	0.0002587	0.811	' '	0.04154	0.04155	' ' 0.0415->0.0416; '?\n' 0.0752->0.0752; '????' 0.00654->0.00654; '??' 0.0111->0.0111; '?\n' 0.00811->0.00812
layers.16.mlp.down_proj	16	mlp.down_proj	86	0.01562	0.0004206	0.0003592	0.854	' '	0.04154	0.04145	' ' 0.0415->0.0414; '?\n' 0.0752->0.0751; '?\n' 0.00811->0.00815; '____' 0.00488->0.00485; '???' 0.00613->0.00614
layers.16.self_attn.o_proj	16	self_attn.o_proj	194	0.03711	0.0003071	0.0002473	0.806	'?\n'	0.07516	0.0752	'?\n' 0.0752->0.0752; ' ' 0.0415->0.0415; '____' 0.00488->0.00487; ' -' 0.006->0.00599; '?' 0.00996->0.00996
