site	layer	kind	component	impairs_frac_run	swept_danswer_ce_run	mean_kl	median_kl	p99_kl	max_kl	frac_kl_over_1e-3	frac_kl_over_1e-2	top1_flip_frac	mean_kl_digit	mean_kl_equals	mean_kl_other	n_digit	n_equals	n_other
layers.17.mlp.down_proj	17	mlp.down_proj	3	0.9876	-0.108628	0.00045228120870888233	0.0002659694291651249	0.0022090452257543802	0.13304263353347778	0.12699508666992188	0.0005159378051757812	0.012284278869628906	0.000500622134589191	0.009779710522195307	0.0004497905357268138	26600	135	1021841
layers.17.mlp.up_proj	17	mlp.up_proj	9	0.9794	-0.0918124	0.00046404311433434486	0.0002727654646150768	0.0023201373405754566	0.11418380588293076	0.1303262710571289	0.0006036758422851562	0.012412071228027344	0.0005216609756462276	0.001610765643245368	0.00046239174215617645	26600	135	1021841
layers.13.mlp.down_proj	13	mlp.down_proj	0	0.9549	-0.0513613	0.0005720466142520308	0.0003441628650762141	0.002938395133242011	1.3526525497436523	0.1599130630493164	0.0013532638549804688	0.014010429382324219	0.0007614218860374907	0.0013593737294690478	0.0005670128661636465	26600	135	1021841
layers.14.mlp.gate_proj	14	mlp.gate_proj	79	0.9375	-0.0475552	0.00048095075180754066	0.0002896043297369033	0.0023305793292820454	0.11102771759033203	0.13409042358398438	0.000797271728515625	0.012716293334960938	0.0005290607034500743	0.0009008799846115936	0.0004796429100661888	26600	135	1021841
layers.14.mlp.down_proj	14	mlp.down_proj	6	0.9452	-0.0469072	0.0004708304477389902	0.0002857785439118743	0.0022781011648476124	0.10547107458114624	0.13166141510009766	0.00054168701171875	0.012691497802734375	0.0005167614526950835	0.0008936242460212843	0.0004695789342247435	26600	135	1021841
layers.17.mlp.gate_proj	17	mlp.gate_proj	502	0.8913	-0.0407152	0.00048860814422369	0.0002865806163754314	0.002518431283533573	0.18469847738742828	0.13750553131103516	0.0007648468017578125	0.012722015380859375	0.0008965572565347587	0.0009487687160732026	0.0004779277826664913	26600	135	1021841
layers.13.mlp.gate_proj	13	mlp.gate_proj	188	0.8054	-0.0275199	0.0005345853278413415	0.00033035973319783807	0.0026824860833585262	0.14688028395175934	0.15192794799804688	0.0008535385131835938	0.013953208923339844	0.00064396245183298	0.0012418113362434302	0.000531644657647528	26600	135	1021841
layers.15.mlp.down_proj	15	mlp.down_proj	6	0.8559	-0.0193543	0.00047038350021466613	0.0002777285117190331	0.002294688019901514	0.11219406127929688	0.1302356719970703	0.0008192062377929688	0.012416839599609375	0.0005154620509711094	0.013443326095929714	0.00046749614608542704	26600	135	1021841
layers.15.self_attn.q_proj	15	self_attn.q_proj	142	0.8236	-0.0117307	0.00047687458572909236	0.0002917213423643261	0.0023330263793468475	0.1330745816230774	0.1369333267211914	0.00034236907958984375	0.012608528137207031	0.0007249416153802697	0.0006269993669303841	0.000470397224921996	26600	135	1021841
layers.13.self_attn.k_proj	13	self_attn.k_proj	19	0.8626	-0.00698066	0.00145708245690912	0.0009060457814484835	0.009157640859484673	2.3229074478149414	0.45930957794189453	0.008768081665039062	0.022441864013671875	0.0018372874515861118	0.0031271570955006475	0.0014469645730152375	26600	135	1021841
layers.13.self_attn.k_proj	13	self_attn.k_proj	15	0.8638	-0.0059793	0.0010161988902837038	0.0006276553031057119	0.006058874540030956	1.6854666471481323	0.31607818603515625	0.004401206970214844	0.018922805786132812	0.0012897108793013582	0.0020304885989322363	0.0010089450298283497	26600	135	1021841
layers.13.self_attn.k_proj	13	self_attn.k_proj	10	0.8597	-0.00415111	0.0006182666984386742	0.0003965140786021948	0.0031104821246117353	0.7006087899208069	0.18045616149902344	0.0010995864868164062	0.014790534973144531	0.0007308061339295491	0.000998099245825196	0.0006152869089952942	26600	135	1021841
layers.14.mlp.up_proj	14	mlp.up_proj	2	0.8166	0.017561	0.0005099284462630749	0.00031392986420542	0.002529085148125887	0.14750522375106812	0.14432048797607422	0.00064849853515625	0.013203620910644531	0.0006801595304798531	0.0008388321453821846	0.0005054536326325134	26600	135	1021841
