kind	layer	decomposition	last-pos KL (ceiling)	integer KL	answer CE
self_attn.q_proj	0	3	3	3	3
self_attn.q_proj	1	7	7	7	7
self_attn.q_proj	2	16	16	16	16
self_attn.q_proj	3	5	4	4	4
self_attn.q_proj	4	3	3	3	3
self_attn.q_proj	5	3	3	3	3
self_attn.q_proj	6	3	2	2	2
self_attn.q_proj	7	3	3	3	3
self_attn.q_proj	8	2	2	2	2
self_attn.q_proj	9	2	2	2	2
self_attn.q_proj	10	1	1	1	1
self_attn.q_proj	11	2	2	2	2
self_attn.q_proj	12	3	3	3	3
self_attn.q_proj	13	1	1	1	1
self_attn.q_proj	14	4	4	4	4
self_attn.q_proj	15	3	3	3	3
self_attn.q_proj	16	4	4	4	4
self_attn.q_proj	17	2	2	2	2
self_attn.q_proj	18	8	5	5	5
self_attn.q_proj	19	1	1	1	1
self_attn.q_proj	20	5	5	5	5
self_attn.q_proj	21	4	4	3	3
self_attn.q_proj	22	4	3	3	3
self_attn.q_proj	23	9	4	4	3
self_attn.q_proj	24	4	3	3	3
self_attn.q_proj	25	4	4	4	4
self_attn.q_proj	26	1	1	1	1
self_attn.q_proj	27	2	2	2	2
self_attn.q_proj	28	5	4	3	4
self_attn.q_proj	29	2	2	1	1
self_attn.q_proj	30	3	3	2	3
self_attn.q_proj	31	9	4	2	3
self_attn.k_proj	0	12	12	12	10
self_attn.k_proj	1	11	11	11	10
self_attn.k_proj	2	23	23	22	23
self_attn.k_proj	3	12	12	12	11
self_attn.k_proj	4	8	7	7	7
self_attn.k_proj	5	7	6	6	6
self_attn.k_proj	6	8	7	7	7
self_attn.k_proj	7	6	6	6	6
self_attn.k_proj	8	5	5	5	5
self_attn.k_proj	9	5	5	5	5
self_attn.k_proj	10	4	4	4	4
self_attn.k_proj	11	3	3	3	3
self_attn.k_proj	12	3	3	3	3
self_attn.k_proj	13	6	6	6	6
self_attn.k_proj	14	3	3	3	3
self_attn.k_proj	15	4	4	4	4
self_attn.k_proj	16	5	5	5	5
self_attn.k_proj	17	2	2	2	2
self_attn.k_proj	18	5	3	3	3
self_attn.k_proj	19	3	3	3	3
self_attn.k_proj	20	4	4	4	4
self_attn.k_proj	21	2	2	2	2
self_attn.k_proj	22	6	5	5	4
self_attn.k_proj	23	5	5	5	4
self_attn.k_proj	24	2	2	2	2
self_attn.k_proj	25	3	3	3	3
self_attn.k_proj	26	3	3	3	3
self_attn.k_proj	27	2	2	2	2
self_attn.k_proj	28	3	3	3	3
self_attn.k_proj	29	3	2	2	2
self_attn.k_proj	30	4	4	4	4
self_attn.k_proj	31	4	3	3	3
self_attn.v_proj	0	11	11	11	11
self_attn.v_proj	1	55	50	49	50
self_attn.v_proj	2	29	25	25	25
self_attn.v_proj	3	46	46	45	43
