# profile	8xh100
# devices	8
# authored_batch	b256x128
# fallback_batch	b128x96
# default_meshes	c,b
# name	run_id	config	kind	timeout_s
mesh-c-b256x128	p-c4eb42d0	mesh-c-b256x128.yaml	mesh	21600
smoke-abgrid-c-b256x128	p-0c8c6daf	smoke-abgrid-c-b256x128.yaml	smoke-abgrid	7200
smoke-resume-c-b256x128	p-ac575196	smoke-resume-c-b256x128.yaml	smoke-resume	10800
mesh-b-b256x128	p-95f0c84b	mesh-b-b256x128.yaml	mesh	21600
smoke-abgrid-b-b256x128	p-30458d6d	smoke-abgrid-b-b256x128.yaml	smoke-abgrid	7200
smoke-resume-b-b256x128	p-99544ca7	smoke-resume-b-b256x128.yaml	smoke-resume	10800
mesh-c-b128x96	p-0b9d9c05	mesh-c-b128x96.yaml	mesh	21600
smoke-abgrid-c-b128x96	p-a6665bc4	smoke-abgrid-c-b128x96.yaml	smoke-abgrid	7200
smoke-resume-c-b128x96	p-9199c7e7	smoke-resume-c-b128x96.yaml	smoke-resume	10800
mesh-b-b128x96	p-28b5001e	mesh-b-b128x96.yaml	mesh	21600
smoke-abgrid-b-b128x96	p-1ffc7b08	smoke-abgrid-b-b128x96.yaml	smoke-abgrid	7200
smoke-resume-b-b128x96	p-bd31eb52	smoke-resume-b-b128x96.yaml	smoke-resume	10800
